timestamp,precipitation,visibility,wind_speed
2023-01-01T00:00:00,0.17,7.8,14.4
2023-01-01T01:00:00,0.13,9.19,18.97
2023-01-01T02:00:00,0.12,7.96,17.53
2023-01-01T03:00:00,0.58,10.03,19.75
2023-01-01T04:00:00,0.72,6.49,19.38
2023-01-01T05:00:00,0.26,3.22,15.13
2023-01-01T06:00:00,0.64,5.72,7.48
2023-01-01T07:00:00,0.15,9.0,15.23
2023-01-01T08:00:00,0.53,8.23,16.76
2023-01-01T09:00:00,0.32,7.27,16.46
2023-01-01T10:00:00,0.52,10.08,9.27
2023-01-01T11:00:00,1.46,6.02,15.94
2023-01-01T12:00:00,0.39,5.43,9.44
2023-01-01T13:00:00,0.6,9.42,15.83
2023-01-01T14:00:00,0.53,6.31,21.83
2023-01-01T15:00:00,0.1,8.39,7.44
2023-01-01T16:00:00,0.19,4.95,10.18
2023-01-01T17:00:00,0.25,4.84,12.53
2023-01-01T18:00:00,0.47,6.41,18.64
2023-01-01T19:00:00,0.37,12.24,28.56
2023-01-01T20:00:00,1.4,8.22,14.59
2023-01-01T21:00:00,0.47,7.18,12.7
2023-01-01T22:00:00,0.73,6.78,11.38
2023-01-01T23:00:00,0.18,8.36,2.85
2023-01-02T00:00:00,0.94,7.79,12.11
2023-01-02T01:00:00,0.11,9.37,12.88
2023-01-02T02:00:00,0.32,11.91,18.99
2023-01-02T03:00:00,0.23,7.22,1.74
2023-01-02T04:00:00,0.72,12.95,11.68
2023-01-02T05:00:00,0.24,4.01,13.18
2023-01-02T06:00:00,0.33,8.28,5.84
2023-01-02T07:00:00,0.31,6.38,18.26
2023-01-02T08:00:00,0.17,8.96,12.89
2023-01-02T09:00:00,0.94,4.84,15.06
2023-01-02T10:00:00,0.65,6.01,11.27
2023-01-02T11:00:00,0.12,8.0,10.36
2023-01-02T12:00:00,0.4,5.04,3.92
2023-01-02T13:00:00,0.33,14.13,15.53
2023-01-02T14:00:00,0.25,10.21,17.21
2023-01-02T15:00:00,0.35,9.48,15.03
2023-01-02T16:00:00,0.12,8.73,7.95
2023-01-02T17:00:00,0.46,8.79,8.77
2023-01-02T18:00:00,0.12,7.65,5.69
2023-01-02T19:00:00,0.46,8.27,10.87
2023-01-02T20:00:00,1.02,7.01,19.04
2023-01-02T21:00:00,0.16,5.81,15.28
2023-01-02T22:00:00,0.14,7.55,8.51
2023-01-02T23:00:00,0.27,10.78,4.63
2023-01-03T00:00:00,0.63,8.35,13.28
2023-01-03T01:00:00,0.62,10.98,14.31
2023-01-03T02:00:00,0.17,9.96,10.84
2023-01-03T03:00:00,0.1,12.54,10.21
2023-01-03T04:00:00,1.64,7.65,9.31
2023-01-03T05:00:00,0.66,8.03,10.84
2023-01-03T06:00:00,0.47,6.95,7.11
2023-01-03T07:00:00,0.41,10.27,13.17
2023-01-03T08:00:00,0.62,6.85,14.06
2023-01-03T09:00:00,0.48,9.09,13.28
2023-01-03T10:00:00,0.75,4.21,12.61
2023-01-03T11:00:00,0.4,6.89,18.49
2023-01-03T12:00:00,0.12,10.86,10.62
2023-01-03T13:00:00,0.14,9.0,12.08
2023-01-03T14:00:00,0.79,10.35,20.81
2023-01-03T15:00:00,0.48,6.75,4.9
2023-01-03T16:00:00,0.7,7.22,1.87
2023-01-03T17:00:00,0.24,4.51,14.52
2023-01-03T18:00:00,0.77,7.62,10.88
2023-01-03T19:00:00,0.17,9.6,21.54
2023-01-03T20:00:00,0.92,7.1,16.81
2023-01-03T21:00:00,0.29,8.07,15.78
2023-01-03T22:00:00,1.24,5.49,16.06
2023-01-03T23:00:00,0.26,6.17,6.88
2023-01-04T00:00:00,0.47,7.8,12.49
2023-01-04T01:00:00,1.61,8.77,22.25
2023-01-04T02:00:00,0.42,7.08,5.74
2023-01-04T03:00:00,1.83,8.52,11.79
2023-01-04T04:00:00,0.38,10.15,6.79
2023-01-04T05:00:00,0.52,6.8,15.0
2023-01-04T06:00:00,0.78,5.3,16.57
2023-01-04T07:00:00,0.88,3.05,7.33
2023-01-04T08:00:00,0.55,8.23,11.93
2023-01-04T09:00:00,0.56,6.26,18.74
2023-01-04T10:00:00,0.26,8.05,12.41
2023-01-04T11:00:00,0.78,6.27,6.79
2023-01-04T12:00:00,0.33,7.34,14.25
2023-01-04T13:00:00,0.75,8.4,21.77
2023-01-04T14:00:00,0.19,7.18,5.09
2023-01-04T15:00:00,0.53,9.79,9.76
2023-01-04T16:00:00,0.56,6.14,10.52
2023-01-04T17:00:00,0.4,6.53,14.51
2023-01-04T18:00:00,0.23,7.07,13.45
2023-01-04T19:00:00,0.28,8.73,14.9
2023-01-04T20:00:00,0.25,5.68,21.27
2023-01-04T21:00:00,0.23,10.19,11.75
2023-01-04T22:00:00,0.94,3.95,7.79
2023-01-04T23:00:00,1.2,7.05,12.42
2023-01-05T00:00:00,0.68,8.35,19.51
2023-01-05T01:00:00,0.51,4.73,11.11
2023-01-05T02:00:00,0.19,8.64,15.36
2023-01-05T03:00:00,0.36,9.48,12.7
2023-01-05T04:00:00,2.1,7.42,11.07
2023-01-05T05:00:00,0.64,7.54,9.94
2023-01-05T06:00:00,0.31,7.66,16.52
2023-01-05T07:00:00,0.59,7.66,9.45
2023-01-05T08:00:00,0.52,9.65,10.97
2023-01-05T09:00:00,0.74,7.1,3.53
2023-01-05T10:00:00,0.88,6.57,10.85
2023-01-05T11:00:00,0.95,9.26,11.02
2023-01-05T12:00:00,1.65,8.36,12.61
2023-01-05T13:00:00,0.17,10.02,9.22
2023-01-05T14:00:00,0.32,5.57,5.41
2023-01-05T15:00:00,0.23,10.12,13.63
2023-01-05T16:00:00,0.52,7.39,14.66
2023-01-05T17:00:00,0.29,6.0,8.4
2023-01-05T18:00:00,0.4,9.34,12.99
2023-01-05T19:00:00,0.33,8.5,9.48
2023-01-05T20:00:00,1.66,5.0,10.87
2023-01-05T21:00:00,0.31,7.37,12.45
2023-01-05T22:00:00,0.24,9.16,9.01
2023-01-05T23:00:00,1.07,3.92,6.71
2023-01-06T00:00:00,0.25,8.96,21.3
2023-01-06T01:00:00,1.49,6.83,10.93
2023-01-06T02:00:00,0.83,8.61,12.87
2023-01-06T03:00:00,1.13,2.98,18.3
2023-01-06T04:00:00,0.9,10.75,17.34
2023-01-06T05:00:00,0.51,6.52,6.96
2023-01-06T06:00:00,0.17,6.74,9.33
2023-01-06T07:00:00,0.24,7.4,26.5
2023-01-06T08:00:00,0.54,8.83,12.28
2023-01-06T09:00:00,0.11,7.66,15.98
2023-01-06T10:00:00,0.16,11.03,13.35
2023-01-06T11:00:00,0.53,7.26,10.75
2023-01-06T12:00:00,0.13,11.22,12.14
2023-01-06T13:00:00,0.29,7.45,13.24
2023-01-06T14:00:00,1.42,7.3,13.59
2023-01-06T15:00:00,0.15,4.74,0.0
2023-01-06T16:00:00,0.27,6.26,9.3
2023-01-06T17:00:00,0.64,8.27,7.93
2023-01-06T18:00:00,0.68,4.75,2.61
2023-01-06T19:00:00,0.83,10.96,7.31
2023-01-06T20:00:00,0.39,8.23,0.81
2023-01-06T21:00:00,0.38,7.1,20.76
2023-01-06T22:00:00,0.28,7.68,9.34
2023-01-06T23:00:00,1.14,10.78,9.3
2023-01-07T00:00:00,0.33,9.4,15.55
2023-01-07T01:00:00,0.26,4.07,10.62
2023-01-07T02:00:00,0.13,7.1,15.09
2023-01-07T03:00:00,0.45,9.61,10.1
2023-01-07T04:00:00,0.3,6.15,11.36
2023-01-07T05:00:00,0.18,8.62,10.05
2023-01-07T06:00:00,0.48,3.21,16.17
2023-01-07T07:00:00,1.17,6.24,9.04
2023-01-07T08:00:00,0.38,8.03,0.0
2023-01-07T09:00:00,0.79,9.06,12.11
2023-01-07T10:00:00,1.05,6.51,16.68
2023-01-07T11:00:00,0.93,9.39,8.18
2023-01-07T12:00:00,0.86,4.59,6.46
2023-01-07T13:00:00,0.17,7.54,8.73
2023-01-07T14:00:00,0.35,8.19,0.15
2023-01-07T15:00:00,0.24,4.73,6.59
2023-01-07T16:00:00,1.14,10.02,7.97
2023-01-07T17:00:00,0.24,8.46,15.29
2023-01-07T18:00:00,0.31,5.63,9.42
2023-01-07T19:00:00,1.22,8.49,15.37
2023-01-07T20:00:00,0.48,6.09,4.99
2023-01-07T21:00:00,0.19,6.6,24.18
2023-01-07T22:00:00,0.39,5.06,7.41
2023-01-07T23:00:00,0.47,7.04,6.56
2023-01-08T00:00:00,0.14,3.53,18.35
2023-01-08T01:00:00,0.22,8.32,6.18
2023-01-08T02:00:00,0.16,11.63,13.16
2023-01-08T03:00:00,0.46,6.88,25.91
2023-01-08T04:00:00,0.72,3.03,9.13
2023-01-08T05:00:00,0.39,6.84,2.1
2023-01-08T06:00:00,0.72,7.5,12.0
2023-01-08T07:00:00,1.12,7.74,8.39
2023-01-08T08:00:00,0.74,7.5,7.09
2023-01-08T09:00:00,0.1,10.99,14.33
2023-01-08T10:00:00,0.42,7.41,16.85
2023-01-08T11:00:00,0.5,6.95,13.83
2023-01-08T12:00:00,0.21,8.59,13.51
2023-01-08T13:00:00,0.22,8.78,4.18
2023-01-08T14:00:00,0.34,7.4,9.09
2023-01-08T15:00:00,0.14,7.44,15.79
2023-01-08T16:00:00,1.25,6.07,6.15
2023-01-08T17:00:00,1.8,8.56,13.99
2023-01-08T18:00:00,0.88,4.45,7.12
2023-01-08T19:00:00,0.51,7.98,16.22
2023-01-08T20:00:00,0.22,9.67,7.16
2023-01-08T21:00:00,0.12,7.83,15.58
2023-01-08T22:00:00,0.95,4.04,15.57
2023-01-08T23:00:00,0.54,7.4,11.89
2023-01-09T00:00:00,0.96,8.98,10.84
2023-01-09T01:00:00,1.17,7.87,5.44
2023-01-09T02:00:00,0.1,5.78,4.91
2023-01-09T03:00:00,0.78,12.18,22.35
2023-01-09T04:00:00,0.86,9.43,7.51
2023-01-09T05:00:00,0.25,8.18,2.05
2023-01-09T06:00:00,0.2,13.45,13.16
2023-01-09T07:00:00,0.51,7.16,9.07
2023-01-09T08:00:00,0.64,4.65,12.17
2023-01-09T09:00:00,0.54,7.4,11.57
2023-01-09T10:00:00,0.1,8.08,5.57
2023-01-09T11:00:00,1.42,4.14,1.44
2023-01-09T12:00:00,1.3,8.73,11.37
2023-01-09T13:00:00,0.2,9.87,17.57
2023-01-09T14:00:00,0.19,5.06,9.73
2023-01-09T15:00:00,0.4,6.49,12.77
2023-01-09T16:00:00,0.39,5.35,15.42
2023-01-09T17:00:00,0.13,5.33,8.65
2023-01-09T18:00:00,0.37,8.69,7.7
2023-01-09T19:00:00,0.27,8.05,8.76
2023-01-09T20:00:00,0.57,7.27,15.98
2023-01-09T21:00:00,0.68,8.28,14.1
2023-01-09T22:00:00,0.23,7.11,12.93
2023-01-09T23:00:00,0.19,6.6,5.31
2023-01-10T00:00:00,0.36,7.02,21.1
2023-01-10T01:00:00,0.75,7.12,11.96
2023-01-10T02:00:00,0.66,7.71,10.38
2023-01-10T03:00:00,0.44,8.8,15.01
2023-01-10T04:00:00,0.12,6.47,15.01
2023-01-10T05:00:00,0.33,7.25,11.09
2023-01-10T06:00:00,0.46,6.62,14.97
2023-01-10T07:00:00,0.24,6.63,21.43
2023-01-10T08:00:00,0.81,9.18,14.59
2023-01-10T09:00:00,0.37,6.4,10.58
2023-01-10T10:00:00,0.33,7.52,6.39
2023-01-10T11:00:00,0.11,5.9,6.33
2023-01-10T12:00:00,0.69,9.06,7.72
2023-01-10T13:00:00,0.15,10.13,8.6
2023-01-10T14:00:00,0.15,8.26,5.46
2023-01-10T15:00:00,0.71,11.52,10.22
2023-01-10T16:00:00,0.92,3.32,10.93
2023-01-10T17:00:00,0.45,6.39,6.45
2023-01-10T18:00:00,1.0,8.81,3.07
2023-01-10T19:00:00,0.71,4.53,16.26
2023-01-10T20:00:00,0.3,7.51,15.37
2023-01-10T21:00:00,0.12,8.08,10.06
2023-01-10T22:00:00,0.18,7.41,11.86
2023-01-10T23:00:00,0.15,7.83,12.42
2023-01-11T00:00:00,0.42,9.49,15.26
2023-01-11T01:00:00,0.43,9.95,14.5
2023-01-11T02:00:00,0.62,4.87,11.01
2023-01-11T03:00:00,0.46,5.13,9.46
2023-01-11T04:00:00,0.56,8.61,7.89
2023-01-11T05:00:00,0.34,5.48,14.38
2023-01-11T06:00:00,0.27,11.69,20.69
2023-01-11T07:00:00,0.3,7.65,12.2
2023-01-11T08:00:00,0.32,8.3,15.7
2023-01-11T09:00:00,0.38,7.46,17.43
2023-01-11T10:00:00,0.23,7.15,11.51
2023-01-11T11:00:00,0.86,6.11,2.51
2023-01-11T12:00:00,0.52,11.12,8.47
2023-01-11T13:00:00,0.16,8.65,16.84
2023-01-11T14:00:00,0.33,3.8,10.85
2023-01-11T15:00:00,0.85,6.3,17.41
2023-01-11T16:00:00,0.44,8.84,7.53
2023-01-11T17:00:00,0.16,8.76,14.57
2023-01-11T18:00:00,0.29,10.31,8.07
2023-01-11T19:00:00,0.22,8.43,8.34
2023-01-11T20:00:00,0.45,7.27,15.22
2023-01-11T21:00:00,0.53,7.39,15.0
2023-01-11T22:00:00,0.45,8.36,4.95
2023-01-11T23:00:00,0.31,8.93,15.55
2023-01-12T00:00:00,0.46,6.49,12.32
2023-01-12T01:00:00,0.15,7.27,15.29
2023-01-12T02:00:00,1.21,8.53,15.69
2023-01-12T03:00:00,0.29,8.14,13.04
2023-01-12T04:00:00,0.51,7.53,16.94
2023-01-12T05:00:00,0.23,9.56,9.77
2023-01-12T06:00:00,0.22,6.41,16.6
2023-01-12T07:00:00,0.42,9.0,1.08
2023-01-12T08:00:00,1.52,9.69,11.19
2023-01-12T09:00:00,0.62,7.68,8.82
2023-01-12T10:00:00,0.64,7.5,12.2
2023-01-12T11:00:00,0.79,5.49,19.03
2023-01-12T12:00:00,0.54,6.99,18.86
2023-01-12T13:00:00,0.38,6.49,17.06
2023-01-12T14:00:00,0.15,9.92,12.58
2023-01-12T15:00:00,0.17,7.4,2.66
2023-01-12T16:00:00,0.59,7.14,13.57
2023-01-12T17:00:00,0.2,10.06,13.15
2023-01-12T18:00:00,0.15,7.77,9.49
2023-01-12T19:00:00,0.12,9.04,9.48
2023-01-12T20:00:00,0.15,7.21,20.51
2023-01-12T21:00:00,0.14,8.7,17.74
2023-01-12T22:00:00,0.95,7.17,9.73
2023-01-12T23:00:00,0.15,10.5,16.24
2023-01-13T00:00:00,0.25,8.34,14.42
2023-01-13T01:00:00,0.37,5.01,11.59
2023-01-13T02:00:00,0.27,6.89,8.4
2023-01-13T03:00:00,0.24,5.36,12.52
2023-01-13T04:00:00,0.15,9.0,10.91
2023-01-13T05:00:00,1.35,8.9,2.6
2023-01-13T06:00:00,0.96,8.04,11.72
2023-01-13T07:00:00,0.65,6.66,20.31
2023-01-13T08:00:00,0.28,5.58,5.94
2023-01-13T09:00:00,1.39,7.21,14.73
2023-01-13T10:00:00,1.06,6.14,16.03
2023-01-13T11:00:00,0.22,9.75,9.24
2023-01-13T12:00:00,0.5,6.97,15.27
2023-01-13T13:00:00,0.11,8.86,22.31
2023-01-13T14:00:00,1.39,6.35,14.16
2023-01-13T15:00:00,0.78,9.8,12.8
2023-01-13T16:00:00,0.15,5.89,12.15
2023-01-13T17:00:00,0.52,7.03,17.18
2023-01-13T18:00:00,0.32,9.0,14.25
2023-01-13T19:00:00,0.13,11.29,14.9
2023-01-13T20:00:00,0.44,4.92,8.94
2023-01-13T21:00:00,0.23,5.34,9.88
2023-01-13T22:00:00,0.29,8.79,16.48
2023-01-13T23:00:00,0.32,11.0,23.22
2023-01-14T00:00:00,0.53,9.41,18.29
2023-01-14T01:00:00,0.6,9.13,16.01
2023-01-14T02:00:00,1.83,4.95,8.11
2023-01-14T03:00:00,0.22,8.42,14.86
2023-01-14T04:00:00,0.64,8.7,9.14
2023-01-14T05:00:00,0.28,8.28,18.47
2023-01-14T06:00:00,0.48,8.37,9.68
2023-01-14T07:00:00,0.45,9.28,1.46
2023-01-14T08:00:00,0.85,2.7,25.04
2023-01-14T09:00:00,1.02,3.41,14.1
2023-01-14T10:00:00,0.7,5.27,11.11
2023-01-14T11:00:00,0.29,8.03,14.52
2023-01-14T12:00:00,0.59,6.92,3.68
2023-01-14T13:00:00,0.39,5.14,10.24
2023-01-14T14:00:00,0.27,11.11,7.25
2023-01-14T15:00:00,0.12,7.52,7.29
2023-01-14T16:00:00,0.75,8.02,8.13
2023-01-14T17:00:00,0.81,9.46,15.78
2023-01-14T18:00:00,0.6,11.96,12.91
2023-01-14T19:00:00,0.75,7.51,11.78
2023-01-14T20:00:00,0.15,8.3,8.83
